売上日,氏名,商品名,売上金額
2022/1/4,田中,トップス,3500
2022/1/10,佐藤,ボトムス,4600
2022/1/26,山田,アウター,10000
2022/2/3,伊藤,靴,8500
2022/2/16,佐藤,ボトムス,2000
2022/2/21,山田,トップス,2000
2022/3/9,田中,アウター,9500
2022/3/17,伊藤,ボトムス,4000
2022/3/29,山田,トップス,3000
2022/4/6,田中,アウター,7000
2022/4/10,伊藤,靴,6000
2022/4/18,佐藤,トップス,3000
2022/4/27,山田,靴,8500
2022/5/3,伊藤,ボトムス,5500
2022/5/5,伊藤,トップス,6000
2022/5/17,田中,靴,7500
2022/5/20,伊藤,靴,6000
2022/6/1,佐藤,トップス,3000
2022/6/11,山田,ボトムス,4000
2022/6/20,伊藤,トップス,2500
2022/6/28,田中,靴,6500
2022/6/29,佐藤,靴,5000
2022/7/6,田中,トップス,2900
2022/7/13,伊藤,靴,7700
2022/7/19,佐藤,トップス,4000
2022/7/26,山田,ボトムス,5000
2022/8/3,田中,トップス,3500
2022/8/11,伊藤,トップス,2500
2022/8/15,田中,靴,4500
2022/8/27,佐藤,靴,4000
2022/9/5,伊藤,トップス,3500
2022/9/10,山田,アウター,8000
2022/9/18,田中,アウター,9000
2022/9/29,山田,トップス,4800
2022/10/2,伊藤,アウター,10000
2022/10/13,佐藤,トップス,4900
2022/10/24,伊藤,ボトムス,6000
2022/11/5,山田,アウター,10000
2022/11/16,田中,アウター,12000
2022/11/20,伊藤,トップス,3000
2022/11/25,山田,靴,6000
2022/12/1,伊藤,靴,7800
2022/12/5,佐藤,トップス,3000
2022/12/13,田中,アウター,9000
2022/12/22,佐藤,アウター,6000
2022/12/24,田中,トップス,3000
2022/12/25,伊藤,ボトムス,3500
2022/12/31,山田,トップス,3000
